n,m,Routing function,Virtual channels number,Virtual chanel buffer size,Optimal data generation rate,Optimal throughput value
2,1,1,1,1,0.3,0.2968
2,1,1,1,2,0.5,0.513934
2,1,1,1,3,0.9,0.820966
2,1,1,1,4,1.1,1.053134
2,1,1,2,1,0.3,0.288534
2,1,1,2,2,0.7,0.691466
2,1,1,2,3,1.1,1.067434
2,1,1,2,4,1.3,1.255434
2,1,1,3,1,0.3,0.285166
2,1,1,3,2,0.7,0.715266
2,1,1,3,3,1.1,1.059966
2,1,1,3,4,1.3,1.254634
2,1,1,4,1,0.3,0.297666
2,1,1,4,2,0.7,0.7044
2,1,1,4,3,1.1,1.0587
2,1,1,4,4,1.3,1.259
2,1,0,1,1,0.3,0.2921
2,1,0,1,2,0.5,0.481934
2,1,0,1,3,0.9,0.825966
2,1,0,1,4,1.1,1.0426
2,1,0,2,1,0.3,0.297734
2,1,0,2,2,0.7,0.691866
2,1,0,2,3,1.1,1.0658
2,1,0,2,4,1.3,1.2576
2,1,0,3,1,0.3,0.3001
2,1,0,3,2,0.1,0.1036
2,1,0,3,3,1.1,1.0647
2,1,0,3,4,1.3,1.259066
2,1,0,4,1,0.3,0.29805
2,1,0,4,2,0.7,0.7128
2,1,0,4,3,1.1,1.067134
2,1,0,4,4,1.3,1.254966
2,2,1,1,1,0.2,0.2042
2,2,1,2,1,0.6,0.588768
2,2,1,3,1,0.6,0.6071
2,2,1,4,1,0.6,0.5826
2,2,1,1,2,1.0,0.9814
2,2,1,1,3,1.4,1.370368
2,2,1,2,2,1.4,1.405868
2,2,1,3,2,1.4,1.386868
2,2,1,1,4,1.8,1.790232
2,2,1,4,2,1.4,1.450732
2,2,1,2,3,1.8,1.838068
2,2,1,3,3,1.8,1.8199
2,2,1,4,3,1.8,1.807468
2,2,1,2,4,2.2,2.182968
2,2,1,3,4,2.6,2.374
2,2,1,4,4,2.6,2.4051
2,2,0,1,1,0.2,0.2057
2,2,0,2,1,0.6,0.5987
2,2,0,3,1,0.6,0.589532
2,2,0,4,1,0.6,0.6192
2,2,0,1,2,1.0,0.9817
2,2,0,1,3,1.4,1.415768
2,2,0,2,2,1.4,1.392368
2,2,0,3,2,1.4,1.429632
2,2,0,1,4,1.8,1.7837
2,2,0,4,2,1.4,1.359132
2,2,0,2,3,1.8,1.791668
2,2,0,3,3,1.8,1.7973
2,2,0,4,3,1.8,1.7784
2,2,0,2,4,2.2,2.199532
2,2,0,3,4,2.6,2.3954
2,2,0,4,4,2.6,2.380632
2,3,1,1,1,0.4,0.3998
2,3,1,1,2,2.0,1.8032
2,3,1,1,3,2.8,2.560368
2,3,1,1,4,3.6,3.296368
2,3,1,2,1,1.2,1.203
2,3,1,2,2,2.8,2.74
2,3,1,2,3,3.6,3.575296
2,3,1,2,4,4.4,4.413536
2,3,1,3,1,1.2,1.211304
2,3,1,3,2,2.8,2.801336
2,3,1,3,3,3.6,3.616768
2,3,1,3,4,4.4,4.393
2,3,1,4,1,1.2,1.220136
2,3,1,4,2,2.8,2.742864
2,3,1,4,3,3.6,3.667896
2,3,1,4,4,5.2,4.720336
2,3,0,1,1,0.4,0.3953
2,3,0,1,2,2.0,1.830664
2,3,0,1,3,2.8,2.572432
2,3,0,1,4,3.6,3.291336
2,3,0,2,1,1.2,1.201752
2,3,0,2,2,2.8,2.7506
2,3,0,2,3,3.6,3.627
2,3,0,2,4,4.4,4.3676
2,3,0,3,1,1.2,1.177696
2,3,0,3,2,2.8,2.802296
2,3,0,3,3,3.6,3.621
2,3,0,3,4,4.4,4.425768
2,3,0,4,1,1.2,1.154936
2,3,0,4,2,2.8,2.804432
2,3,0,4,3,3.6,3.540336
2,3,0,4,4,5.2,4.723336
2,4,1,1,1,0.8,0.8195008
2,4,1,1,2,2.4,2.412096
2,4,1,1,3,4.0,4.034368
2,4,1,1,4,5.6,5.609104
2,4,1,2,1,2.4,2.34904
2,4,1,2,2,5.6,5.254992
2,4,1,2,3,7.2,7.0596
2,4,1,2,4,8.8,8.815408
2,4,1,3,1,2.4,2.417664
2,4,1,3,2,5.6,5.502128
2,4,1,3,3,7.2,7.1936
2,4,1,3,4,8.8,8.899136
2,4,1,4,1,2.4,2.424672
2,4,1,4,2,5.6,5.547728
2,4,1,4,3,7.2,7.16384
2,4,1,4,4,10.4,9.451072
2,4,0,1,1,0.8,0.7959664
2,4,0,1,2,2.4,2.399936
2,4,0,1,3,4.0,3.9416
2,4,0,1,4,5.6,5.615904
2,4,0,2,1,2.4,2.4152
2,4,0,2,2,5.6,5.264304
2,4,0,2,3,7.2,7.134096
2,4,0,2,4,8.8,8.761472
2,4,0,3,1,2.4,2.387392
2,4,0,3,2,5.6,5.49336
2,4,0,3,3,7.2,7.186672
2,4,0,3,4,8.8,8.778992
2,4,0,4,1,2.4,2.396272
2,4,0,4,2,5.6,5.56696
2,4,0,4,3,7.2,7.178496
2,4,0,4,4,10.4,9.434672
2,5,1,1,1,1.6,1.615968
2,5,1,1,2,4.8,4.804896
2,5,1,1,3,8.0,7.9584
2,5,1,1,4,11.2,11.113568
2,5,1,2,1,4.8,4.83376
2,5,1,2,2,11.2,10.22752
2,5,1,2,3,14.4,14.074752
2,5,1,2,4,17.6,17.59344
2,5,1,3,1,4.8,4.857152
2,5,1,3,2,11.2,10.833536
2,5,1,3,3,14.4,14.386496
2,5,1,3,4,17.6,17.529728
2,5,1,4,1,4.8,4.837504
2,5,1,4,2,11.2,10.885888
2,5,1,4,3,14.4,14.404608
2,5,1,4,4,20.8,18.982336
2,5,0,1,1,1.6,1.6016672
2,5,0,1,2,4.8,4.846048
2,5,0,1,3,8.0,7.989728
2,5,0,1,4,11.2,11.164032
2,5,0,2,1,4.8,4.717312
2,5,0,2,2,11.2,10.255424
2,5,0,2,3,14.4,14.028672
2,5,0,2,4,17.6,17.512672
2,5,0,3,1,4.8,4.8072
2,5,0,3,2,11.2,10.82848
2,5,0,3,3,14.4,14.344992
